message_content,is_spam
"Hello Lonnie,

Just wanted to touch base regarding our project’s next steps. Please find the details below. Information material statement power suddenly summer usually. Serious responsibility before new success each.

Kind regards,
Terry Griffin

Please find attached the updated project plan. Let me know if you have any questions.

If you have any questions, please feel free to reach out.",0
"Congratulations, you've won a prize! Call us now to claim it.

Your account has been selected for a special reward. Click here to claim it now!

For more details, visit our website or contact us directly.",1
"You have been pre-approved for a credit card with a high limit.

This special offer is available for a limited time only. Act quickly to secure your spot.

For more details, visit our website or contact us directly.",1
"Limited time offer, act now! Only a few spots left.

Immediate action required! Verify your account details to avoid suspension.

For more details, visit our website or contact us directly.",1
"Your loan has been approved! Transfer funds today.

Hurry! This is a once-in-a-lifetime opportunity that you don't want to miss. Act now!

For more details, visit our website or contact us directly.",1
"You have been selected to receive a special offer. Act fast!

Don’t miss out on this unique chance to win big! Click now to participate.

For more details, visit our website or contact us directly.",1
"Hello Christian,

Just wanted to touch base regarding our project’s next steps. Please find the details below. Agency pretty leg young some attack. House gas section teacher season.
Heavy staff sound shoulder. Education why my mission include factor agree information. Think less group edge.

Kind regards,
Ryan Martinez

Please find attached the updated project plan. Let me know if you have any questions.

If you have any questions, please feel free to reach out.",0
"Dear Bethany,

I hope you’re doing well. I just wanted to update you on the progress of the project. Please find the status report attached. Last ahead building ability by bad want child. Discussion first machine ahead act occur instead.
Better probably will garden change score. Medical rock seem sign.

Best,
Cassandra Dominguez

I appreciate your attention to this matter. Looking forward to your response.

If you have any questions, please feel free to reach out.",0
"Free vacation, no strings attached! Book now and enjoy.

Your account has been selected for a special reward. Click here to claim it now!

For more details, visit our website or contact us directly.",1
"Claim your free gift now! Limited time offer.

Get instant access to premium services! Click here to unlock your benefits.

For more details, visit our website or contact us directly.",1
"Earn money from home! No experience needed.

Your account has been selected for a special reward. Click here to claim it now!

For more details, visit our website or contact us directly.",1
"Hi Joe,

Just a quick reminder about our scheduled meeting tomorrow at 10 AM. Last same former as late experience key. See add range.
Eight tell firm surface.
Money myself many evening. Movement possible young manager way month police commercial.

Cheers,
Amber Curry

I appreciate your attention to this matter. Looking forward to your response.

If you have any questions, please feel free to reach out.",0
